封測OSAT-測試_2336點0:
3711.TW
2449.TW
6271.TW
6147.TW
6239.TW
6515.TW
7769.TW
6223.TW
3374.TW
8150.TW
2360.TW
3264.TW
6451.TW
6257.TW
6217.TW
6510.TW
6789.TW
2441.TW
KLAC.US
TER.US
ASX.US
AMKR.US
CPO-光通訊_2298點0:
2330.TW
3081.TW
4979.TW
3363.TW
3450.TW
3163.TW
AVGO.US
MRVL.US
TSM.US
GLW.US
LITE.US
IC設計_2255點0:
2454.TW
3661.TW
3443.TW
2379.TW
3529.TW
5269.TW
5274.TW
3034.TW
3035.TW
2458.TW
2401.TW
6202.TW
4966.TW
NVDA.US
AMD.US
QCOM.US
ARM.US
ADI.US
金融_2170點0:
2887.TW
2881.TW
2882.TW
2891.TW
2883.TW
2884.TW
2885.TW
2890.TW
2886.TW
2892.TW
5871.TW
2880.TW
2834.TW
HOOD.US
JPM.US
BAC.US
SPGI.US
COIN.US
AI伺服器_2052點0:
3661.TW
3017.TW
2317.TW
6669.TW
2382.TW
3665.TW
3653.TW
2059.TW
5274.TW
3706.TW
3324.TW
6781.TW
2376.TW
8210.TW
DELL.US
VRT.US
ANET.US
SMCI.US
HPE.US
記憶體_1820點0:
2344.TW
2408.TW
8299.TW
2337.TW
5289.TW
3006.TW
3260.TW
2451.TW
5351.TW
4967.TW
MU.US
SNDK.US
STX.US
WDC.US
生技醫藥_1742點0:
6446.TW
LLY.US
JNJ.US
ABBV.US
UNH.US
ISRG.US
PCB-CCL_1702點0:
2383.TW
3037.TW
8046.TW
6274.TW
4958.TW
6213.TW
2368.TW
2313.TW
8358.TW
3189.TW
8039.TW
2302.TW
3044.TW
3715.TW
TTMI.US
被動元件_1463點0:
2327.TW
3042.TW
3026.TW
2484.TW
6173.TW
2375.TW
2472.TW
2493.TW
2486.TW
2492.TW
6449.TW
6284.TW
VSH.US
電信_1236點0:
2412.TW
3045.TW
4904.TW
LITE.US
CSCO.US
T.US
VZ.US
ANET.US
功率半導體_1195點0:
8261.TW
4919.TW
2301.TW
6138.TW
3707.TW
6719.TW
2481.TW
6415.TW
5425.TW
2385.TW
8081.TW
TXN.US
MPWR.US
ON.US
NVTS.US
WOLF.US
半導體設備_1049點0:
6139.TW
2404.TW
6187.TW
3583.TW
2467.TW
3131.TW
3680.TW
5536.TW
6196.TW
8064.TW
3413.TW
AMAT.US
LRCX.US
ASML.US
MKSI.US
ONTO.US
晶圓代工_1044點0:
2330.TW
2303.TW
6770.TW
5347.TW
INTC.US
TSM.US
TSEM.US
UMC.US
傳統產業_701點0:
1301.TW
1303.TW
1326.TW
6505.TW
1409.TW
1815.TW
2105.TW
2002.TW
1402.TW
1605.TW
1101.TW
1102.TW
1477.TW
9904.TW
組裝代工EMS_623點0:
2317.TW
2382.TW
3231.TW
2356.TW
2324.TW
4938.TW
2312.TW
FLEX.US
CLS.US
JBL.US
SANM.US
散熱-結構件_536點0:
3017.TW
3653.TW
3376.TW
2474.TW
3324.TW
2351.TW
矽晶圓-材料_493點0:
6182.TW
5483.TW
6488.TW
半導體材料_488點0:
1785.TW
1717.TW
8028.TW
1560.TW
ENTG.US
Q.US
航運_360點0:
2603.TW
2609.TW
2615.TW
2618.TW
2610.TW
面板_353點0:
3481.TW
2409.TW
6116.TW
