方向,排名,題材,熱度Δ,市場,代碼,XQ代碼,公司,當週排行
上升,2,半導體設備,2.86,陸,sz002371,002371.SZ,北方華創,17
上升,2,半導體設備,2.86,陸,sz002008,002008.SZ,大族雷射,53
上升,2,半導體設備,2.86,陸,sh688120,688120.SH,華海清科,80
上升,2,半導體設備,2.86,陸,sh688361,688361.SH,中科飛測,94
上升,3,矽晶圓/材料,2.52,台,6182,6182.TW,,5
上升,3,矽晶圓/材料,2.52,台,5483,5483.TW,,41
上升,3,矽晶圓/材料,2.52,台,6488,6488.TW,,61
上升,3,矽晶圓/材料,2.52,日,3436,3436.JP,勝高(SUMCO),12
上升,3,矽晶圓/材料,2.52,日,4063,4063.JP,信越化學,31
上升,3,矽晶圓/材料,2.52,日,4043,4043.JP,德山(Tokuyama),380
上升,3,矽晶圓/材料,2.52,韓,010060,010060.KS,OCI控股,139
上升,3,矽晶圓/材料,2.52,陸,sh688126,688126.SH,滬矽產業,60
上升,3,矽晶圓/材料,2.52,陸,sh605358,605358.SH,立昂微,87
上升,3,矽晶圓/材料,2.52,陸,sh688432,688432.SH,有研矽,166
上升,3,矽晶圓/材料,2.52,陸,sh688783,688783.SH,西安奕材,453
上升,4,傳統產業,1.99,台,1301,1301.TW,,21
上升,4,傳統產業,1.99,台,1303,1303.TW,,38
上升,4,傳統產業,1.99,台,1326,1326.TW,,43
上升,4,傳統產業,1.99,台,6505,6505.TW,,106
上升,4,傳統產業,1.99,台,1409,1409.TW,,112
上升,4,傳統產業,1.99,台,1815,1815.TW,,179
上升,4,傳統產業,1.99,台,2105,2105.TW,,213
上升,4,傳統產業,1.99,台,2002,2002.TW,,235
上升,4,傳統產業,1.99,台,1402,1402.TW,,242
上升,4,傳統產業,1.99,台,1605,1605.TW,,251
上升,4,傳統產業,1.99,台,1101,1101.TW,,260
上升,4,傳統產業,1.99,台,1102,1102.TW,,269
上升,4,傳統產業,1.99,台,1477,1477.TW,,272
上升,4,傳統產業,1.99,台,9904,9904.TW,,274
上升,4,傳統產業,1.99,日,7011,7011.JP,三菱重工,26
上升,4,傳統產業,1.99,日,7013,7013.JP,IHI,35
上升,4,傳統產業,1.99,日,6301,6301.JP,小松製作所(Komatsu),65
上升,4,傳統產業,1.99,日,5333,5333.JP,日本碍子(NGK),94
上升,4,傳統產業,1.99,日,1801,1801.JP,大成建設,103
上升,4,傳統產業,1.99,韓,034020,034020.KS,斗山能源重工,18
上升,4,傳統產業,1.99,韓,028050,028050.KS,三星E&A,41
上升,4,傳統產業,1.99,韓,005490,005490.KS,POSCO控股,59
上升,4,傳統產業,1.99,韓,047040,047040.KS,大宇建設,72
上升,4,傳統產業,1.99,韓,006360,006360.KS,GS建設,83
上升,4,傳統產業,1.99,陸,sz002407,002407.SZ,多氟多,24
上升,4,傳統產業,1.99,陸,sh600160,600160.SH,巨化股份,63
上升,4,傳統產業,1.99,陸,sh603650,603650.SH,彤程新材,147
上升,4,傳統產業,1.99,陸,sh601208,601208.SH,東材科技,164
上升,4,傳統產業,1.99,陸,sh605020,605020.SH,永和股份,178
上升,5,金融,1.77,台,2887,2887.TW,,71
上升,5,金融,1.77,台,2881,2881.TW,,74
上升,5,金融,1.77,台,2882,2882.TW,,78
上升,5,金融,1.77,台,2891,2891.TW,,90
上升,5,金融,1.77,台,2883,2883.TW,,144
上升,5,金融,1.77,台,2884,2884.TW,,148
上升,5,金融,1.77,台,2885,2885.TW,,181
上升,5,金融,1.77,台,2890,2890.TW,,198
上升,5,金融,1.77,台,2886,2886.TW,,201
上升,5,金融,1.77,台,2892,2892.TW,,226
上升,5,金融,1.77,台,5871,5871.TW,,258
上升,5,金融,1.77,台,2880,2880.TW,,277
上升,5,金融,1.77,台,2834,2834.TW,,282
上升,5,金融,1.77,美,HOOD,HOOD.US,Robinhood,26
上升,5,金融,1.77,美,JPM,JPM.US,摩根大通,40
上升,5,金融,1.77,美,BAC,BAC.US,美國銀行,73
上升,5,金融,1.77,美,SPGI,SPGI.US,,76
上升,5,金融,1.77,美,COIN,COIN.US,Coinbase,78
上升,5,金融,1.77,日,8306,8306.JP,三菱UFJ,17
上升,5,金融,1.77,日,8316,8316.JP,三井住友FG,24
上升,5,金融,1.77,日,8411,8411.JP,瑞穗FG,28
上升,5,金融,1.77,日,8766,8766.JP,東京海上,37
上升,5,金融,1.77,日,8725,8725.JP,MS&AD保險,60
上升,5,金融,1.77,韓,055550,055550.KS,新韓金融,11
上升,5,金融,1.77,韓,105560,105560.KS,KB金融,16
上升,5,金融,1.77,韓,032830,032830.KS,三星生命,30
上升,5,金融,1.77,韓,086790,086790.KS,Hana金融,46
上升,5,金融,1.77,韓,006800,006800.KS,未來資產證券,51
