熱度排名,題材,熱度分,市場,代碼,XQ代碼,公司,排名
3,封測(OSAT/測試),4593,陸,sz300604,300604.SZ,長川科技,29
3,封測(OSAT/測試),4593,陸,sz002156,002156.SZ,通富微電,66
3,封測(OSAT/測試),4593,陸,sz002185,002185.SZ,華天科技,74
4,PCB/CCL,4574,台,2383,2383.TW,,11
4,PCB/CCL,4574,台,3037,3037.TW,,12
4,PCB/CCL,4574,台,8046,8046.TW,,13
4,PCB/CCL,4574,台,6274,6274.TW,,15
4,PCB/CCL,4574,台,4958,4958.TW,,17
4,PCB/CCL,4574,台,6213,6213.TW,,23
4,PCB/CCL,4574,台,2368,2368.TW,,34
4,PCB/CCL,4574,台,2313,2313.TW,,35
4,PCB/CCL,4574,台,8358,8358.TW,,62
4,PCB/CCL,4574,台,3189,3189.TW,,98
4,PCB/CCL,4574,台,8039,8039.TW,,178
4,PCB/CCL,4574,台,2302,2302.TW,,210
4,PCB/CCL,4574,台,3044,3044.TW,,225
4,PCB/CCL,4574,台,3715,3715.TW,,257
4,PCB/CCL,4574,美,TTMI,TTMI.US,TTM Technologies,277
4,PCB/CCL,4574,日,4062,4062.JP,Ibiden,8
4,PCB/CCL,4574,日,2802,2802.JP,味之素,57
4,PCB/CCL,4574,日,3110,3110.JP,日東紡,75
4,PCB/CCL,4574,日,6787,6787.JP,名幸電子(Meiko),87
4,PCB/CCL,4574,韓,353200,353200.KS,大德電子,42
4,PCB/CCL,4574,韓,007660,007660.KS,Isu Petasys,44
4,PCB/CCL,4574,韓,222800,222800.KS,心傳(Simmtech),47
4,PCB/CCL,4574,韓,007810,007810.KS,Korea Circuit,171
4,PCB/CCL,4574,韓,090460,090460.KS,BH,300
4,PCB/CCL,4574,陸,sz002384,002384.SZ,東山精密,5
4,PCB/CCL,4574,陸,sh600176,600176.SH,中國巨石,8
4,PCB/CCL,4574,陸,sh600183,600183.SH,生益科技,22
4,PCB/CCL,4574,陸,sz002463,002463.SZ,滬電股份,26
4,PCB/CCL,4574,陸,sz301526,301526.SZ,國際復材,28
5,半導體設備,4553,台,6139,6139.TW,,46
5,半導體設備,4553,台,2404,2404.TW,,111
5,半導體設備,4553,台,6187,6187.TW,,121
5,半導體設備,4553,台,3583,3583.TW,,130
5,半導體設備,4553,台,2467,2467.TW,,165
5,半導體設備,4553,台,3131,3131.TW,,175
5,半導體設備,4553,台,3680,3680.TW,,185
5,半導體設備,4553,台,5536,5536.TW,,199
5,半導體設備,4553,台,6196,6196.TW,,203
5,半導體設備,4553,台,8064,8064.TW,,262
5,半導體設備,4553,台,3413,3413.TW,,298
