熱度排名,題材,熱度分,市場,代碼,XQ代碼,公司,排名
19,矽晶圓/材料,1198,陸,sh688126,688126.SH,滬矽產業,60
19,矽晶圓/材料,1198,陸,sh605358,605358.SH,立昂微,87
19,矽晶圓/材料,1198,陸,sh688432,688432.SH,有研矽,166
19,矽晶圓/材料,1198,陸,sh688783,688783.SH,西安奕材,453
20,品牌3C,962,台,2357,2357.TW,,116
20,品牌3C,962,台,2377,2377.TW,,170
20,品牌3C,962,台,2353,2353.TW,,206
20,品牌3C,962,日,6758,6758.JP,索尼集團,18
20,品牌3C,962,日,6752,6752.JP,松下控股,21
20,品牌3C,962,日,7751,7751.JP,佳能(Canon),96
20,品牌3C,962,日,6724,6724.JP,愛普生(Epson),225
20,品牌3C,962,日,6448,6448.JP,兄弟工業(Brother),426
20,品牌3C,962,韓,005930,005930.KS,三星電子,2
20,品牌3C,962,韓,066570,066570.KS,LG電子,15
