code,name,market
2897,王道銀行,上市
2901,欣欣,上市
2903,遠百,上市
2904,匯僑,上市
2905,三商,上市
2906,高林,上市
2908,特力,上市
2910,統領,上市
2911,麗嬰房,上市
2912,統一超,上市
2913,農林,上市
2915,潤泰全,上市
2923,鼎固-KY,上市
2929,淘帝-KY,上市
2939,永邑-KY,上市
2945,三商家購,上市
3002,歐格,上市
3003,健和興,上市
3004,豐達科,上市
3005,神基,上市
3006,晶豪科,上市
3008,大立光,上市
3010,華立,上市
3011,今皓,上市
3013,晟銘電,上市
3014,聯陽,上市
3015,全漢,上市
3016,嘉晶,上市
3017,奇鋐,上市
3018,隆銘綠能,上市
3019,亞光,上市
3021,鴻名,上市
3022,威強電,上市
3023,信邦,上市
3024,憶聲,上市
3025,星通,上市
3026,禾伸堂,上市
3027,盛達,上市
3028,增你強,上市
3029,零壹,上市
3030,德律,上市
3031,佰鴻,上市
3032,偉訓,上市
3033,威健,上市
3034,聯詠,上市
3035,智原,上市
3036,文曄,上市
3037,欣興,上市
3038,全台,上市
3040,遠見,上市
3041,揚智,上市
3042,晶技,上市
3043,科風,上市
3044,健鼎,上市
3045,台灣大,上市
3046,建��,上市
3047,訊舟,上市
3048,益登,上市
3049,精金,上市
3050,鈺德,上市
3051,力特,上市
3052,夆典,上市
3054,立萬利,上市
3055,蔚華科,上市
3056,富華新,上市
3057,喬鼎,上市
3058,立德,上市
3059,華晶科,上市
3060,銘異,上市
3062,建漢,上市
3090,日電貿,上市
3092,鴻碩,上市
3094,聯傑,上市
3130,一零四,上市
3135,凌航,上市
3138,耀登,上市
3149,正達,上市
3164,景岳,上市
3167,大量,上市
3168,眾福科,上市
3189,景碩,上市
3209,全科,上市
3229,晟鈦,上市
3231,緯創,上市
3257,虹冠電,上市
3266,昇陽,上市
3296,勝德,上市
3305,昇貿,上市
3308,聯德,上市
3311,閎暉,上市
3312,弘憶股,上市
3321,同泰,上市
3338,泰碩,上市
3346,麗清,上市
3356,奇偶,上市
3376,新日興,上市
3380,明泰,上市
3406,玉晶光,上市
3413,京鼎,上市
3416,融程電,上市
3419,譁裕,上市
3432,台端,上市
3437,榮創,上市
3443,創意,上市
3447,展達,上市
3450,聯鈞,上市
3481,群創,上市
3494,誠研,上市
3501,維熹,上市
3504,揚明光,上市
3515,華擎,上市
3518,柏騰,上市
3528,安馳,上市
3530,晶相光,上市
3532,台勝科,上市
3533,嘉澤,上市
3535,晶彩科,上市
3543,州巧,上市
3545,敦泰,上市
3550,聯穎,上市
3557,嘉威,上市
3563,牧德,上市
3576,聯合再生,上市
3583,辛耘,上市
3588,通嘉,上市
3591,艾笛森,上市
3592,瑞鼎,上市
3593,力銘,上市
3596,智易,上市
3605,宏致,上市
3607,谷崧,上市
3617,碩天,上市
3622,洋華,上市
3645,達邁,上市
3652,精聯,上市
3653,健策,上市
3661,世芯-KY,上市
3665,貿聯-KY,上市
3669,圓展,上市
3673,TPK-KY,上市
3679,新至陞,上市
3686,達能,上市
3694,海華,上市
3701,大眾控,上市
3702,大聯大,上市
3703,欣陸,上市
3704,合勤控,上市
3705,永信,上市
3706,神達,上市
3708,上緯投控,上市
3711,日月光投控,上市
3712,永崴投控,上市
3714,富采,上市
3715,定穎投控,上市
3716,中化控股,上市
3717,聯嘉投控,上市
4104,佳醫,上市
4106,雃博,上市
4108,懷特,上市
4119,旭富,上市
4133,亞諾法,上市
4137,麗豐-KY,上市
4142,國光生,上市
4148,全宇生技-KY,上市
4155,訊映,上市
4164,承業醫,上市
4169,泰宗,上市
4178,永笙-KY,上市
4190,佐登-KY,上市
4306,炎洲,上市
4414,如興,上市
4426,利勤,上市
4438,廣越,上市
4439,冠星-KY,上市
4440,宜新實業,上市
4441,振大環球,上市
4526,東台,上市
4532,瑞智,上市
4536,拓凱,上市
4540,全球傳動,上市
4545,銘鈺,上市
4551,智伸科,上市
4552,力達-KY,上市
4555,氣立,上市
4557,永新-KY,上市
4560,強信-KY,上市
4562,穎漢,上市
4564,元翎,上市
4566,時碩工業,上市
4569,六方科-KY,上市
4571,鈞興-KY,上市
4572,駐龍,上市
4576,大銀微系統,上市
4581,光隆精密-KY,上市
4583,台灣精銳,上市
4585,達明,上市
4588,玖鼎電力,上市
4720,德淵,上市
4722,國精化,上市
4736,泰博,上市
4737,華廣,上市
4739,康普,上市
4746,台耀,上市
4755,三福化,上市
4763,材料*-KY,上市
4764,雙鍵,上市
4766,南寶,上市
4770,上品,上市
4771,望隼,上市
4807,日成-KY,上市
4904,遠傳,上市
4906,正文,上市
4912,聯德控股-KY,上市
4915,致伸,上市
4916,事欣科,上市
4919,新唐,上市
4927,泰鼎-KY,上市
4930,燦星網,上市
4934,太極,上市
4935,茂林-KY,上市
4938,和碩,上市
4942,嘉彰,上市
4943,康控-KY,上市
4949,有成精密,上市
4952,凌通,上市
4956,光鋐,上市
4958,臻鼎-KY,上市
