code,name,market,amount_krw,rank
340570,티앤엘,KOSDAQ,4372348100,383
011930,신성이엔지,KOSPI,4302018665,384
122870,와이지엔터테인먼트,KOSDAQ GLOBAL,4290988975,385
005070,코스모신소재,KOSPI,4286408000,386
059090,미코,KOSDAQ,4261959175,387
085910,네오티스,KOSDAQ,4241852240,388
425040,티이엠씨,KOSDAQ,4206011355,389
037350,성도이엔지,KOSDAQ,4170400030,390
003690,코리안리,KOSPI,4157928895,391
298000,효성화학,KOSPI,4146364050,392
089890,코세스,KOSDAQ,4117467625,393
900070,글로벌에스엠,KOSDAQ,4003286530,394
046970,우리로,KOSDAQ,3989841584,395
388210,씨엠티엑스,KOSDAQ,3979734650,396
204620,글로벌텍스프리,KOSDAQ,3973909052,397
394420,리센스메디컬,KOSDAQ,3935922910,398
026910,광진실업,KOSDAQ,3926794585,399
198440,강동씨앤엘,KOSDAQ,3926443320,400
