market,code,name,amount,rank
TW-上市,3035,智原,1043750710,152
TW-上市,2493,揚博,1041700982,153
TW-上市,1519,華城,1036572921,154
TW-上市,4919,新唐,1023870933,155
TW-上市,3702,大聯大,1018289884,156
TW-上市,3016,嘉晶,968608692,157
TW-上櫃,3131,弘塑,955287370,158
TW-上櫃,6290,良維,938076465,159
TW-上市,3406,玉晶光,909963215,160
TW-上櫃,4939,亞電,906705545,161
TW-上市,6257,矽格,901718821,162
TW-上市,3048,益登,888667294,163
TW-上市,6414,樺漢,879559788,164
TW-上櫃,5536,聖暉*,863972590,165
TW-上市,5880,合庫金,851092878,166
TW-上市,1560,中砂,847790419,167
TW-上市,2912,統一超,829488071,168
TW-上市,2425,承啟,825611247,169
TW-上櫃,3264,欣銓,795126021,170
TW-上市,6206,飛捷,791028745,171
TW-上市,2812,台中銀,788800429,172
TW-上市,2610,華航,784705551,173
TW-上市,6781,AES-KY,781509645,174
TW-上市,2472,立隆電,780350162,175
TW-上市,5269,祥碩,775743470,176
TW-上市,1605,華新,755211313,177
TW-上市,6196,帆宣,752937121,178
TW-上市,6919,康霈*,720143001,179
TW-上市,2426,鼎元,719991446,180
TW-上市,3504,揚明光,708219216,181
TW-上市,3605,宏致,705652653,182
TW-上市,8110,華東,705026808,183
TW-上市,6197,佳必琪,699878572,184
TW-上市,1718,中纖,697422742,185
TW-上市,6282,康舒,693321113,186
TW-上市,2388,威盛,688191483,187
TW-上櫃,8042,金山電,686136004,188
TW-上櫃,8096,擎亞,685799205,189
TW-上市,2351,順德,671219126,190
TW-上市,9904,寶成,668833307,191
TW-上市,2002,中鋼,668457159,192
TW-上市,3715,定穎投控,661015084,193
TW-上市,2393,億光,650144391,194
TW-上市,5434,崇越,642200787,195
TW-上櫃,5439,高技,623657293,196
TW-上市,6944,兆聯實業,613498316,197
TW-上櫃,3081,聯亞,613447455,198
TW-上市,4989,榮科,604416824,199
TW-上市,1101,台泥,597866992,200
TW-上市,3030,德律,580895380,201
TW-上市,2359,所羅門,574316861,202
TW-上櫃,8027,鈦昇,570465416,203
TW-上市,6834,天二科技,568870796,204
TW-上市,3583,辛耘,568563224,205
TW-上市,5871,中租-KY,561652655,206
TW-上市,2369,菱生,561523136,207
TW-上市,6226,光鼎,559841993,208
TW-上櫃,6207,雷科,559289594,209
TW-上市,2375,凱美,538647540,210
TW-上市,6166,凌華,538217387,211
TW-上市,8131,福懋科,538150470,212
TW-上市,6789,采鈺,537561284,213
TW-上市,2027,大成鋼,537516979,214
TW-上市,6526,達發,536616457,215
TW-上市,2467,志聖,528530704,216
TW-上市,2609,陽明,511790773,217
TW-上櫃,5475,德宏,511079985,218
TW-上市,7795,長廣,507765037,219
TW-上市,1477,聚陽,490809000,220
TW-上市,4916,事欣科,488657383,221
TW-上市,3149,正達,483103669,222
TW-上櫃,3680,家登,477448590,223
TW-上市,3413,京鼎,469102712,224
TW-上櫃,6548,長科*,464235010,225
TW-上市,2615,萬海,462246081,226
TW-上櫃,4749,新應材,456060576,227
TW-上市,2006,東和鋼鐵,455999921,228
TW-上市,4764,雙鍵,451293669,229
TW-上市,3019,亞光,448495281,230
TW-上市,1717,長興,448432251,231
TW-上市,6672,騰輝電子-KY,441880149,232
TW-上市,1513,中興電,437771584,233
TW-上市,1476,儒鴻,435698073,234
TW-上市,2312,金寶,434419437,235
TW-上市,4763,材料*-KY,433682449,236
TW-上市,2474,可成,426662865,237
TW-上市,4722,國精化,424621787,238
TW-上櫃,4908,前鼎,418478651,239
TW-上市,4977,眾達-KY,417053504,240
TW-上市,6278,台表科,414216688,241
TW-上市,7610,聯友金屬-創,411515240,242
TW-上櫃,3357,臺慶科,406658258,243
TW-上櫃,6907,雅特力-KY,406047219,244
TW-上市,6449,鈺邦,404267875,245
TW-上櫃,6538,倉和,393784174,246
TW-上櫃,8086,宏捷科,392104162,247
TW-上市,2353,宏碁,391917691,248
TW-上櫃,3221,台嘉碩,386400333,249
TW-上市,6176,瑞儀,386239792,250
TW-上櫃,4966,譜瑞-KY,385444994,251
TW-上櫃,6435,大中,384690657,252
TW-上市,2645,長榮航太,384490107,253
TW-上市,1402,遠東新,376838753,254
TW-上市,8114,振樺電,376204915,255
TW-上市,5876,上海商銀,372291283,256
TW-上市,2399,映泰,365139183,257
TW-上市,3563,牧德,364823359,258
TW-上櫃,6138,茂達,359423285,259
TW-上市,1504,東元,358785595,260
TW-上櫃,6584,南俊國際,357521590,261
TW-上市,6525,捷敏-KY,345494347,262
TW-上市,3376,新日興,343851160,263
TW-上市,6214,精誠,342854961,264
TW-上市,6202,盛群,335290591,265
TW-上市,6209,今國光,330779643,266
TW-上櫃,4542,科嶠,330295274,267
TW-上市,3714,富采,329892784,268
TW-上櫃,6182,合晶,328424932,269
TW-上市,1102,亞泥,326168997,270
TW-上市,3135,凌航,324501869,271
TW-上櫃,7751,竑騰,316880650,272
TW-上櫃,3707,漢磊,312189047,273
TW-上市,2542,興富發,311522166,274
TW-上市,6491,晶碩,309298066,275
TW-上櫃,8932,智通*,308741028,276
TW-上市,3005,神基,308392885,277
TW-上市,2637,慧洋-KY,303143932,278
TW-上市,1714,和桐,303015704,279
TW-上市,2367,燿華,302978639,280
TW-上市,3673,TPK-KY,300457839,281
TW-上櫃,7828,創新服務,297813830,282
TW-上櫃,8064,東捷,296052614,283
TW-上櫃,3693,營邦,294469273,284
TW-上櫃,4973,廣穎,292922919,285
TW-上市,2485,兆赫,291661237,286
TW-上市,6409,旭隼,291551857,287
TW-上市,6691,洋基工程,291008534,288
TW-上市,4576,大銀微系統,287335046,289
TW-上市,2489,瑞軒,287183213,290
TW-上櫃,5386,青雲,283097736,291
TW-上市,3023,信邦,283087242,292
TW-上市,2207,和泰車,280907865,293
TW-上市,2458,義隆,278792608,294
TW-上櫃,6173,信昌電,278384519,295
TW-上市,3167,大量,275769078,296
TW-上櫃,6683,雍智科技,273621890,297
TW-上市,3033,威健,272282527,298
TW-上市,2385,群光,265925002,299
TW-上櫃,3455,由田,260378344,300
