market,code,name,amount_mil_jpy,rank
JP-東Ｐ,7272,ヤマハ発,9774,129
JP-東Ｐ,4578,大塚ＨＤ,9671,130
JP-東Ｐ,1802,大林組,9618,131
JP-東Ｐ,5344,ＭＡＲＵＷＡ,9583,132
JP-東Ｐ,4186,東応化,9434,133
JP-東Ｐ,2503,キリンＨＤ,9254,134
JP-東Ｐ,6965,ホトニクス,9232,135
JP-東Ｐ,9735,セコム,9229,136
JP-東Ｐ,7911,ＴＯＰＰＡＮ,9122,137
JP-東Ｐ,4307,野村総研,9051,138
JP-東Ｐ,6645,オムロン,8832,139
JP-東Ｐ,5334,特殊陶,8800,140
JP-東Ｐ,6315,ＴＯＷＡ,8756,141
JP-東Ｐ,3382,セブン＆アイ,8741,142
JP-東Ｐ,9024,西武ＨＤ,8714,143
JP-東Ｐ,6326,クボタ,8604,144
JP-東Ｇ,584,ＬｉＮＫＸ,8597,145
JP-東Ｐ,9201,ＪＡＬ,8596,146
JP-東Ｐ,1925,大和ハウス,8410,147
JP-東Ｐ,1928,積水ハウス,8391,148
JP-東Ｐ,4204,積水化,8369,149
JP-東Ｐ,5411,ＪＦＥ,8332,150
JP-東Ｐ,1812,鹿島,8316,151
JP-東Ｐ,6754,アンリツ,8312,152
JP-東Ｐ,3687,Ｆスターズ,8137,153
JP-東Ｐ,9697,カプコン,8062,154
JP-東Ｐ,8233,高島屋,8042,155
JP-東Ｐ,9843,ニトリＨＤ,8006,156
JP-東Ｐ,9531,東ガス,8005,157
JP-東Ｐ,8267,イオン,7994,158
JP-東Ｐ,9962,ミスミＧ,7974,159
JP-東Ｐ,6728,アルバック,7959,160
JP-東Ｐ,5201,ＡＧＣ,7755,161
JP-東Ｐ,9503,関西電,7747,162
JP-東Ｐ,6278,ユニオンツル,7709,163
JP-東Ｐ,7173,東京きらぼし,7663,164
JP-東Ｐ,5020,ＥＮＥＯＳ,7644,165
JP-東Ｐ,1803,清水建,7625,166
JP-東Ｐ,7733,オリンパス,7601,167
JP-東Ｐ,4911,資生堂,7596,168
JP-東Ｐ,3099,三越伊勢丹,7539,169
JP-東Ｐ,8795,Ｔ＆Ｄ,7538,170
JP-東Ｐ,6806,ヒロセ電,7520,171
JP-東Ｐ,7270,ＳＵＢＡＲＵ,7417,172
JP-東Ｓ,7746,岡本硝子,7322,173
JP-東Ｐ,5631,日製鋼,7178,174
JP-東Ｐ,1911,住友林,7177,175
JP-東Ｇ,186,アストロＨＤ,7011,176
JP-東Ｓ,3350,メタプラ,6973,177
JP-東Ｐ,2875,東洋水,6971,178
JP-東Ｐ,9766,コナミＧ,6940,179
JP-東Ｐ,2413,エムスリー,6919,180
JP-東Ｓ,4716,日本オラクル,6860,181
JP-東Ｐ,6323,ローツェ,6849,182
JP-東Ｓ,6072,地盤ＨＤ,6811,183
JP-東Ｐ,7220,武蔵精密,6803,184
JP-東Ｐ,7701,島津,6639,185
JP-東Ｐ,4768,大塚商会,6628,186
JP-東Ｐ,4507,塩野義,6614,187
JP-東Ｐ,9020,ＪＲ東日本,6604,188
JP-東Ｐ,6997,日ケミコン,6587,189
JP-東Ｐ,8697,日本取引所,6541,190
JP-東Ｓ,6855,電子材料,6484,191
JP-東Ｐ,3407,旭化成,6462,192
JP-東Ｐ,3086,Ｊフロント,6456,193
JP-東Ｐ,4523,エーザイ,6453,194
JP-東Ｐ,5101,浜ゴム,6446,195
JP-東Ｐ,6674,ＧＳユアサ,6418,196
JP-東Ｓ,6327,北川精機,6253,197
JP-東Ｓ,6834,精工技研,6248,198
JP-東Ｐ,7259,アイシン,6191,199
JP-東Ｐ,7729,東京精,6182,200
JP-東Ｐ,9021,ＪＲ西日本,6135,201
JP-東Ｐ,4188,三菱ケミＧ,6056,202
JP-東Ｐ,4684,オービック,6024,203
JP-東Ｐ,7832,バンナムＨＤ,5990,204
JP-東Ｐ,4182,菱ガス化,5945,205
JP-東Ｐ,1944,きんでん,5885,206
JP-東Ｐ,4005,住友化,5836,207
JP-東Ｐ,5805,ＳＷＣＣ,5820,208
JP-東Ｐ,7912,大日印,5817,209
JP-東Ｐ,7261,マツダ,5816,210
JP-東Ｐ,6779,日電波,5739,211
JP-東Ｐ,8601,大和,5641,212
JP-東Ｐ,6841,横河電,5634,213
JP-東Ｐ,6113,アマダ,5612,214
JP-東Ｐ,3003,ヒューリック,5603,215
JP-東Ｐ,6481,ＴＨＫ,5580,216
JP-東Ｐ,9202,ＡＮＡＨＤ,5552,217
JP-東Ｐ,4689,ラインヤフー,5526,218
JP-東Ｐ,6856,堀場製,5506,219
JP-東Ｐ,5471,大同特鋼,5484,220
JP-東Ｐ,2768,双日,5430,221
JP-東Ｐ,1942,関電工,5405,222
JP-東Ｐ,7309,シマノ,5340,223
JP-東Ｐ,1963,日揮ＨＤ,5280,224
JP-東Ｐ,6532,ベイカレント,5246,225
JP-東Ｐ,6724,エプソン,5225,226
JP-東Ｐ,5110,住友ゴ,5222,227
JP-東Ｐ,8113,ユニチャーム,5169,228
JP-東Ｐ,2579,コカＢＪＨ,5165,229
JP-東Ｐ,4967,小林製薬,5103,230
JP-東Ｐ,3659,ネクソン,5095,231
JP-東Ｐ,3769,ＧＭＯ－ＰＧ,5092,232
JP-東Ｐ,6586,マキタ,5014,233
JP-東Ｐ,9147,ＮＸＨＤ,5014,234
JP-東Ｐ,7202,いすゞ,4980,235
JP-東Ｐ,6134,ＦＵＪＩ,4971,236
JP-東Ｐ,9602,東宝,4955,237
JP-東Ｐ,6770,アルプスアル,4922,238
JP-東Ｐ,4680,ラウンドワン,4905,239
JP-東Ｐ,1969,高砂熱,4898,240
JP-東Ｐ,5711,三菱マ,4894,241
JP-東Ｐ,7186,横浜ＦＧ,4866,242
JP-東Ｐ,7747,朝日インテク,4854,243
JP-東Ｐ,6268,ナブテスコ,4841,244
JP-東Ｐ,4751,サイバー,4840,245
JP-東Ｐ,8524,北洋銀,4796,246
JP-東Ｓ,2962,テクニスコ,4790,247
JP-東Ｐ,6269,三井海洋,4759,248
JP-東Ｐ,6740,Ｊディスプレ,4759,249
JP-東Ｐ,6952,カシオ,4737,250
JP-東Ｐ,8303,ＳＢＩ新生銀,4713,251
JP-東Ｐ,7731,ニコン,4686,252
JP-東Ｐ,5831,しずおかＦＧ,4676,253
JP-東Ｐ,6407,ＣＫＤ,4594,254
JP-東Ｐ,4021,日産化,4589,255
JP-東Ｐ,7282,豊田合,4568,256
JP-東Ｐ,7003,三井Ｅ＆Ｓ,4556,257
JP-東Ｐ,8593,三菱ＨＣキャ,4542,258
JP-東Ｐ,3402,東レ,4523,259
JP-東Ｐ,2801,キッコマン,4477,260
JP-東Ｐ,4091,日本酸素ＨＤ,4450,261
JP-東Ｐ,4385,メルカリ,4444,262
JP-東Ｐ,5938,ＬＩＸＩＬ,4423,263
JP-東Ｐ,3289,東急不ＨＤ,4421,264
JP-東Ｐ,5105,ＴＯＹＯ,4409,265
JP-東Ｐ,3405,クラレ,4328,266
JP-東Ｐ,4061,デンカ,4328,267
JP-東Ｐ,4151,協和キリン,4295,268
JP-東Ｐ,5838,楽天銀,4284,269
JP-東Ｐ,2587,サントリＢＦ,4272,270
JP-東Ｐ,5019,出光興産,4220,271
JP-東Ｐ,4506,住友ファーマ,4215,272
JP-東Ｐ,6370,栗田工,4184,273
JP-東Ｐ,9042,阪急阪神,4171,274
JP-東Ｐ,3092,ＺＯＺＯ,4117,275
JP-東Ｐ,1878,大東建,4114,276
JP-東Ｐ,6141,ＤＭＧ森精機,4114,277
JP-東Ｇ,464,ＱＰＳＨＤ,4078,278
JP-東Ｐ,5844,京都ＦＧ,4070,279
JP-東Ｐ,6302,住友重,4050,280
JP-東Ｐ,8804,東建物,4039,281
JP-東Ｐ,6703,ＯＫＩ,4019,282
JP-東Ｐ,5214,日電硝,3925,283
JP-東Ｐ,4203,住友ベ,3880,284
JP-東Ｐ,4088,エアウォータ,3821,285
JP-東Ｐ,9005,東急,3797,286
JP-東Ｐ,6869,シスメックス,3756,287
JP-東Ｐ,7550,ゼンショＨＤ,3724,288
JP-東Ｐ,7721,東京計器,3720,289
JP-東Ｐ,4183,三井化学,3711,290
JP-東Ｐ,9616,共立メンテ,3708,291
JP-東Ｐ,8354,ふくおかＦＧ,3697,292
JP-東Ｐ,8331,千葉銀,3637,293
JP-東Ｐ,429,テクセンド,3596,294
JP-東Ｐ,2206,グリコ,3584,295
JP-東Ｇ,581,ＧＯ,3582,296
JP-東Ｐ,4704,トレンド,3580,297
JP-東Ｐ,6996,ニチコン,3533,298
JP-東Ｐ,7826,フルヤ金属,3527,299
JP-東Ｐ,2897,日清食ＨＤ,3514,300
JP-東Ｐ,1808,長谷工,3491,301
JP-東Ｐ,6254,野村マイクロ,3487,302
JP-東Ｐ,7245,大同メ,3481,303
JP-東Ｐ,3064,モノタロウ,3454,304
JP-東Ｐ,7167,めぶきＦＧ,3444,305
JP-東Ｐ,6305,日立建機,3443,306
JP-東Ｐ,3097,物語コーポ,3429,307
JP-東Ｐ,6135,牧野フ,3425,308
JP-東Ｐ,6941,山一電機,3418,309
JP-東Ｐ,6622,ダイヘン,3413,310
JP-東Ｐ,4047,関電化,3390,311
JP-東Ｐ,5714,ＤＯＷＡ,3383,312
JP-東Ｐ,3861,王子ＨＤ,3368,313
JP-東Ｐ,6707,サンケン,3347,314
JP-東Ｐ,7956,ピジョン,3332,315
JP-東Ｐ,5741,ＵＡＣＪ,3309,316
JP-東Ｐ,7276,小糸製,3306,317
JP-東Ｓ,7014,名村造,3280,318
JP-東Ｐ,4528,小野薬,3275,319
