日期,時段,代碼,公司,成交金額排名,主族群,市值,EPS預估
2026-08-06,盤後,NET,"Cloudflare, Inc.",144,"AI雲端/軟體, 科技(綜合)","$96,252,401,618",($0.03)
2026-08-06,盤後,ABNB,"Airbnb, Inc.",159,消費(非必需),"$86,849,779,404",$1.20
2026-08-06,未公布時段,MSI,"Motorola Solutions, Inc.",172,科技(綜合),"$67,440,685,055",$3.43
2026-08-06,未公布時段,WBD,"Warner Bros. Discovery, Inc.",174,消費(非必需),"$64,759,341,013",($0.12)
2026-08-06,盤前,COP,ConocoPhillips,200,"能源, 能源/電力","$143,149,545,823",$2.96
2026-08-06,盤前,CEG,Constellation Energy Corporation,228,"公用事業, 核能/SMR","$94,711,258,320",$2.24
2026-08-06,盤前,ZTS,Zoetis Inc.,231,生技醫藥,"$31,588,838,691",$1.85
2026-08-06,未公布時段,PH,Parker-Hannifin Corporation,237,工業,"$120,989,977,157",$8.30
2026-08-06,盤前,HWM,Howmet Aerospace Inc.,238,"工業, 軍工/國防","$111,629,987,757",$1.23
2026-08-06,未公布時段,KVUE,Kenvue Inc.,243,消費(非必需),"$36,499,364,779",$0.32
2026-08-06,盤後,AIG,"American International Group, Inc.",246,金融,"$42,543,747,173",$1.89
2026-08-06,盤後,AFL,Aflac Incorporated,268,金融,"$62,905,444,285",$1.77
2026-08-06,盤後,TWLO,Twilio Inc.,271,科技(綜合),"$29,781,066,809",$0.59
2026-08-06,未公布時段,MTSI,"MACOM Technology Solutions Holdings, Inc.",290,"CPO/光通訊, IC設計, 科技(綜合)","$21,593,992,915",$1.04
2026-08-06,盤後,AKAM,"Akamai Technologies, Inc.",326,消費(非必需),"$18,160,096,684",$0.90
2026-08-06,盤前,FOXA,Fox Corporation,333,工業,"$21,626,989,633",$1.34
2026-08-06,盤後,RSG,"Republic Services, Inc.",343,公用事業,"$66,033,942,993",$1.81
2026-08-06,盤後,ONTO,Onto Innovation Inc.,348,"半導體設備, 工業","$14,875,813,711",$1.68
2026-08-06,盤前,LNG,"Cheniere Energy, Inc.",352,公用事業,"$55,026,225,018",$2.67
2026-08-06,盤前,CNQ,Canadian Natural Resources Limited,368,能源,"$93,849,315,514",$1.43
2026-08-06,盤前,KDP,Keurig Dr Pepper Inc.,388,傳統消費,"$41,102,501,619",$0.55
2026-08-06,盤前,BDX,"Becton, Dickinson and Company",390,生技醫藥,"$42,389,139,290",$3.14
2026-08-06,未公布時段,TRGP,"Targa Resources, Inc.",399,公用事業,"$60,147,514,499",$2.65
2026-08-06,未公布時段,KRMN,Karman Holdings Inc.,405,"工業, 軍工/國防","$6,185,002,374",$0.13
2026-08-06,盤後,DKNG,DraftKings Inc.,407,消費(非必需),"$11,832,672,285",$0.08
2026-08-06,未公布時段,ACA,"Arcosa, Inc.",409,工業,"$7,101,789,053",$1.18
2026-08-06,盤後,MP,MP Materials Corp.,418,傳統產業/原材料,"$8,242,427,767",($0.01)
2026-08-06,盤前,FISV,"Fiserv, Inc.",420,消費(非必需),"$26,987,984,231",$1.89
2026-08-06,盤前,SRE,Sempra ,422,公用事業,"$59,219,353,457",$1
2026-08-06,盤後,TEAM,Atlassian Corporation ,428,科技(綜合),"$22,991,368,297",$0.32
2026-08-06,盤前,NVMI,Nova Ltd.,429,"半導體設備, 科技(綜合)","$14,400,864,613",$2.23
2026-08-06,未公布時段,QBTS,D-Wave Quantum Inc.,433,"科技(綜合), 量子計算","$6,527,929,298",($0.12)
2026-08-06,未公布時段,USFD,US Foods Holding Corp.,438,消費(非必需),"$20,866,001,906",$1.30
2026-08-06,未公布時段,CLSK,"CleanSpark, Inc.",440,"加密貨幣, 金融","$3,946,640,360",($0.29)
2026-08-06,盤前,FWONK,Liberty Media Corporation,448,工業,"$22,584,586,405",$0.18
2026-08-06,盤後,PBR,Petroleo Brasileiro S.A.- Petrobras,450,能源,"$119,478,552,704",$1.35
2026-08-06,盤前,ITT,ITT Inc.,454,工業,"$17,119,206,000",$1.93
2026-08-06,未公布時段,NTRA,"Natera, Inc.",465,生技醫藥,"$38,264,285,763",($0.47)
2026-08-06,盤後,ED,Consolidated Edison Inc,466,公用事業,"$40,468,246,906",$0.76
2026-08-06,未公布時段,CELH,"Celsius Holdings, Inc.",485,傳統消費,"$7,163,042,887",$0.43
2026-08-06,未公布時段,KTOS,"Kratos Defense & Security Solutions, Inc.",503,"工業, 軍工/國防","$9,040,338,429",$0.06
2026-08-06,盤後,RMD,ResMed Inc.,505,生技醫藥,"$28,402,039,987",$2.90
2026-08-06,未公布時段,TTD,"The Trade Desk, Inc.",510,科技(綜合),"$8,579,477,588",$0.22
2026-08-06,未公布時段,VEEE,Twin Vee PowerCats Co.,520,工業,"$13,894,913",
2026-08-06,盤後,TXRH,"Texas Roadhouse, Inc.",539,消費(非必需),"$12,771,921,491",$1.90
2026-08-06,盤前,ATI,ATI Inc.,549,工業,"$26,913,332,909",$1.03
2026-08-06,盤前,QSR,Restaurant Brands International Inc.,563,消費(非必需),"$33,686,789,515",$1.03
2026-08-06,未公布時段,INSM,Insmed Incorporated,576,生技醫藥,"$23,543,651,228",($0.69)
2026-08-06,未公布時段,FLUT,Flutter Entertainment plc,586,科技(綜合),"$18,766,810,930",$0.30
2026-08-06,盤前,RL,Ralph Lauren Corporation,593,工業,"$22,790,594,374",$4.26
2026-08-06,盤前,U,Unity Software Inc.,678,科技(綜合),"$13,039,300,360",$0.08
2026-08-06,盤後,WPM,Wheaton Precious Metals Corp.,683,傳統產業/原材料,"$50,044,351,725",$1.14
2026-08-06,盤後,FROG,JFrog Ltd.,687,科技(綜合),"$10,484,123,309",($0.04)
2026-08-06,盤後,GMED,"Globus Medical, Inc.",693,生技醫藥,"$10,328,808,592",$1.12
2026-08-06,未公布時段,ASND,Ascendis Pharma A/S,694,生技醫藥,"$15,816,634,522",$1.29
