code,name_zh,market,period,pre_date,actual_date,lead_days
6278,,sii,2024Q2,2024-08-01,,
6414,,sii,2024Q2,2024-08-01,,
8069,,otc,2024Q2,2024-08-01,,
1312,,sii,2024Q2,2024-08-02,,
2027,,sii,2024Q2,2024-08-02,,
2458,,sii,2024Q2,2024-08-02,,
2615,,sii,2024Q2,2024-08-02,,
3167,,sii,2024Q2,2024-08-02,,
3293,,otc,2024Q2,2024-08-02,,
6781,,sii,2024Q2,2024-08-02,,
8021,,sii,2024Q2,2024-08-02,,
8111,,otc,2024Q2,2024-08-02,,
8042,,otc,2024Q2,2024-08-04,,
2332,,sii,2024Q2,2024-08-05,,
2603,,sii,2024Q2,2024-08-05,,
3005,,sii,2024Q2,2024-08-05,,
6223,,otc,2024Q2,2024-08-05,,
1504,,sii,2024Q2,2024-08-06,,
2884,,sii,2024Q2,2024-08-08,,
2891,,sii,2024Q2,2024-08-14,,
2892,,sii,2024Q2,2024-08-14,,
3673,,sii,2024Q2,2024-08-14,,
4977,,sii,2024A,2024-08-14,,
1590,,sii,2024Q2,2024-08-20,,
3023,,sii,2024Q3,2024-10-14,,
1590,,sii,2024Q3,2024-10-16,,
2484,,sii,2024Q3,2024-10-18,,
5371,,otc,2024Q3,2024-10-18,,
8271,,sii,2024Q3,2024-10-18,,
3715,,sii,2024Q3,2024-10-19,,
2308,,sii,2024Q3,2024-10-21,,
3006,,sii,2024Q3,2024-10-21,,
3037,,sii,2024Q3,2024-10-21,,
3481,,sii,2024Q3,2024-10-21,,
6257,,sii,2024Q3,2024-10-21,,
6278,,sii,2024Q3,2024-10-21,,
2301,,sii,2024Q3,2024-10-22,,
2379,,sii,2024Q3,2024-10-22,,
2383,,sii,2024Q3,2024-10-22,,
2467,,sii,2024Q3,2024-10-23,,
3016,,sii,2024Q3,2024-10-23,,
3019,,sii,2024Q3,2024-10-23,,
3264,,otc,2024Q3,2024-10-23,,
2359,,sii,2024Q3,2024-10-24,,
3707,,otc,2024Q3,2024-10-24,,
2458,,sii,2024Q3,2024-10-25,,
2630,,sii,2024Q3,2024-10-25,,
3441,,otc,2024Q3,2024-10-25,,
4991,,otc,2024Q3,2024-10-25,,
1785,,otc,2024Q3,2024-10-27,,
2385,,sii,2024Q3,2024-10-28,,
2425,,sii,2024Q3,2024-10-28,,
2486,,sii,2024Q3,2024-10-28,,
3036,,sii,2024Q3,2024-10-28,,
5328,,otc,2024Q3,2024-10-28,,
6187,,otc,2024Q3,2024-10-28,,
6197,,sii,2024Q3,2024-10-28,,
6781,,sii,2024Q3,2024-10-28,,
3026,,sii,2024Q3,2024-10-29,,
3673,,sii,2024Q3,2024-10-29,,
5269,,sii,2024Q3,2024-10-29,,
6285,,sii,2024Q3,2024-10-29,,
8043,,otc,2024Q3,2024-10-29,,
8069,,otc,2024Q3,2024-10-29,,
8111,,otc,2024Q3,2024-10-29,,
1326,,sii,2024Q3,2024-10-30,,
1717,,sii,2024Q3,2024-10-30,,
2313,,sii,2024Q3,2024-10-30,,
2353,,sii,2024Q3,2024-10-30,,
2615,,sii,2024Q3,2024-10-30,,
2884,,sii,2024Q3,2024-10-30,,
3044,,sii,2024Q3,2024-10-30,,
3293,,otc,2024Q3,2024-10-30,,
3324,,otc,2024Q3,2024-10-30,,
3363,,otc,2024Q3,2024-10-30,,
3491,,otc,2024Q3,2024-10-30,,
3653,,sii,2024Q3,2024-10-30,,
4989,,sii,2024Q3,2024-10-30,,
5289,,otc,2024Q3,2024-10-30,,
5425,,otc,2024Q3,2024-10-30,,
6206,,sii,2024Q3,2024-10-30,,
6207,,otc,2024Q3,2024-10-30,,
6239,,sii,2024Q3,2024-10-30,,
6409,,sii,2024Q3,2024-10-30,,
8021,,sii,2024Q3,2024-10-30,,
8050,,otc,2024Q3,2024-10-30,,
8114,,sii,2024Q3,2024-10-30,,
8210,,sii,2024Q3,2024-10-30,,
2605,,sii,2024Q3,2024-10-31,,
6182,,otc,2024Q3,2024-10-31,,
1312,,sii,2024Q3,2024-11-01,,
2609,,sii,2024Q3,2024-11-01,,
6414,,sii,2024Q3,2024-11-01,,
1504,,sii,2024Q3,2024-11-04,,
2027,,sii,2024Q3,2024-11-04,,
3693,,otc,2024Q3,2024-11-04,,
8042,,otc,2024Q3,2024-11-04,,
2332,,sii,2024Q3,2024-11-05,,
2603,,sii,2024Q3,2024-11-05,,
2618,,sii,2024Q3,2024-11-05,,
3005,,sii,2024Q3,2024-11-05,,
6223,,otc,2024Q3,2024-11-05,,
6669,,sii,2024Q3,2024-11-05,,
3017,,sii,2024Q3,2024-11-06,,
2892,,sii,2024Q3,2024-11-12,,
